Year	id	Country	Preservation Requests	Preservation Accounts Preserved	Total Data Requests	Total Users/Accounts Requested	Percent Requests Where Some Data Produced	Legal Process Request Total	Legal Process Request Total Accounts	Legal Process Request Total Percentage	Emergency Request Total	Emergency Request Total Accounts	Emergency Request Total Percentage	Emergency Disclosures Accounts	Emergency Disclosures	Emergency Disclosures Percentage	Search Warrant	Search Warrant Accounts	Search Warrant Percentage	Subpoena	Subpoena Accounts	Subpoena Percentage	Court Order (Other)	Court Order (Other) Accounts	Court Order (Other) Percentage	Court Order (18 USC 2703(d))	Court Order (18 USC 2703(d)) Accounts	Court Order (18 USC 2703(d)) Percentage	Pen Register/Trap and Trace	Pen Register/Trap and Trace Accounts	Pen Register/Trap and Trace Percentage	Title III,Title III Accounts	Title III Percentage	Title III	Title III Accounts	NSLs	NSLs Accounts
2015	UGA	Uganda			1	2	0%																														
2015	UKR	Ukraine			15.0	16.0	30.555																														
2015	ARE	United Arab Emirates			7.0	14.0	40.0																														
2015	GBR	United Kingdom			7574.0	9967.0	80.095																														
2015	USA	United States			36812.0	56620.0	80.63				1521.0	2032.0	73.58500000000001				20865.0	32716.0	84.66999999999999	10663.0	16609.0	75.31	609.0	728.0	70.48	838.0	1776.0	79.385	2030.0	2360.0	79.295		80.345	286.0	399.0		
2015	VNM	Vietnam			1	2	0%																														
2015	GEO	Georgia			4	4	75.00%																														
2015	MMR	Myanmar			0	0	0%																														
2015	TZA	Tanzania			1	1	0%																														
2015	AZE	Azerbaijan			4	4	0%																														
2015	193	Saint Vincent and the Grenadines			1	3	0%																														
2015	168	Macau			2	2	50.00%																														
2015	BLR	Belarus			1	1	0%																														
2015	SDN	Sudan			5	6	0%																														
2015	BHS	The Bahamas			1	0	0%																														
2015	AFG	Afghanistan			1	5	0%																														
2015	NPL	Nepal			1	1	0%																														
2015	NGA	Nigeria			1	96	100.00%																														
2016	ALB	Albania	3.0	5.0	36.0	65.0	76.625	36.0	65.0	76.625	0.0	0.0	0.0																								
2016	DZA	Algeria	1	1	0	0	0%	0	0	0%	0	0	0%																								
2016	ARG	Argentina	868.0	1297.0	1824.0	2426.0	74.46000000000001	1733.0	2302.0	74.12	91.0	124.0	72.255																								
2016	ARM	Armenia	6.0	8.0	16.0	21.0	76.19	16.0	21.0	76.19	0.0	0.0	0.0																								
2016	AUS	Australia	744.0	1061.0	1418.0	1562.0	59.69	1384.0	1517.0	59.345	34.0	45.0	69.78																								
2016	AUT	Austria	31.0	45.0	76.0	91.0	39.18	64.0	77.0	37.230000000000004	12.0	14.0	50.0																								
2016	AZE	Azerbaijan	4.0	8.0	10.0	12.0	0.0	9.0	11.0	0.0	1.0	1.0	0.0																								
2016	163	Bahrain	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0																								
